Abbildung,"die Abbildung, -en","Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",,,,,
Abenteuer,"das Abenteuer, -",Unser Urlaub war ein tolles Abenteuer.,Die Kinder lieben Abenteuergeschichten.,,,,
Abfahrt,"die Abfahrt, -en",Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,,,,,
Abfall,"der Abfall, ¨-e",Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,,,,,
Abfalleimer,"der Abfalleimer, -",Wirf das bitte in den Abfalleimer!,,,,,
Abitur,"das Abitur (D) ? A, CH: Matura",Meine Tochter hat gerade Abitur gemacht.,,,,,
Abonnement,"das Abonnement, -s/-e",Ich habe das Abonnement gekündigt.,,,,,
Abschluss,"der Abschluss, ¨-e",Ein guter Schulabschluss ist sehr wichtig.,,,,,
Abschnitt,"der Abschnitt, -e",Lesen Sie bitte den zweiten Abschnitt.,,,,,
"Absender, Absenderin","der Absender, - die Absenderin, -nen",Schicken Sie das Paket an den Absender zurück.,,,,,
Absicht,"die Absicht, -en",Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.,Hast du die Absicht zu studieren?,,,,
Abteilung,"die Abteilung, -en",Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,,,,,
"Abwart, Abwartin","der Abwart, -e die Abwartin, -nen (CH) ? D, A: Hausmeister","Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.",,,,,
Adresse,"die Adresse, -n",Hast du schon meine neue Adresse?,,,,,
Ahnung,die Ahnung,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",,,,,
Aktion,"die Aktion, -en",Die Stadt sollte eine Aktion für Familien planen.,,,,,
Aktivität,"die Aktivität, -en",In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.,,,,,
Alarm,"der Alarm, -e",Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,,,,,
Alkohol,der Alkohol,Du musst die Wunde mit Alkohol reinigen.,"Nein, danke! Ich trinke keinen Alkohol.",,,,
Alltag,der Alltag,"Das ist mein Alltag: putzen, waschen, kochen.",,,,,
Alphabet,"das Alphabet, -e",Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,,,,,
Alter,das Alter,Wir sind etwa im gleichen Alter.,Alter: 26 Jahre,,,,
Altenheim,"das Altenheim, -e ? Altersheim",Die Großeltern unserer Nachbarn sind im Altenheim.,,,,,
Alternative,"die Alternative, -n",Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,,,,,
Ampel,"die Ampel, -n",Dort an der Ampel kannst du über die Straße gehen.,,,,,
Amt,"das Amt, ¨-er",Das Arbeitsamt befindet sich neben dem Busbahnhof.,,,,,
Anbieter,"der Anbieter, -",Ist das ein privater Telefonanbieter?,,,,,
Angebot,"das Angebot, -e",Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.,Der Käse ist heute im Angebot.,,,,
Änderung,"die Änderung, -en",Es gibt eine Programmänderung.,,,,,
Anfang,"der Anfang, ¨-e",Wie war der Film? – Ich habe nur den Anfang gesehen.,Am Anfang habe ich bei der Arbeit viele Fragen gestellt.,Mein Chef ist Anfang fünfzig.,"Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.",Wir machen Anfang Juli Ferien.,Meine Freundin wohnt am Anfang der Straße.
Angabe,"die Angabe,-n","Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.",,,,,
Angehörige,"der Angehörige, -n die Angehörige, -n",Der Arzt darf nur Familienangehörigen Auskunft geben.,,,,,
Angst,"die Angst, “-e",Du brauchst keine Angst zu haben. Der Hund tut dir nichts.,"Ich habe Angst, vielleicht ist etwas passiert.",,,,
Ankunft,die Ankunft,"Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.",Gleich nach der Ankunft habe ich meine Eltern angerufen.,,,,
Anlage,"die Anlage, -n",Meine Musikanlage ist kaputt.,In der Anlage der E-Mail finden Sie meinen Lebenslauf.,,,,
Anleitung,"die Anleitung, -en","In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.",,,,,
Anmeldung,"die Anmeldung, -en",Wo bekomme ich die Formulare für die Anmeldung?,"Die Anmeldung ist im Erdgeschoss, Zimmer 55.",,,,
Annonce,"die Annonce, -n","Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.",,,,,
Anrede,"die Anrede, -n",Du darfst im Brief die Anrede nicht vergessen.,,,,,
Anruf,"der Anruf, -e",Ich warte auf einen Anruf aus Berlin.,,,,,
Anrufbeantworter,"der Anrufbeantworter, -",Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,,,,,
Ansage,"die Ansage, -n",Achten Sie auf die Ansage am Bahnsteig.,,,,,
Anschluss,"der Anschluss, ¨-e",In Mannheim haben Sie Anschluss nach Saarbrücken.,Ich brauche in meiner Wohnung einen Telefonanschluss.,,,,
Anspruch,"der Anspruch, ¨-e",Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.,,,,,
Angestellte,"der Angestellte, -n die Angestellte, -n",Björn ist Angestellter in einem Reisebüro.,,,,,
Antrag,"der Antrag, ¨-e",Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?,,,,,
Antwort,"die Antwort, -en",Leider habe ich keine Antwort bekommen.,,,,,
"Anwalt, Anwältin","der Anwalt, ¨-e die Anwältin, -nen",Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.,,,,,
Anzeige,"die Anzeige, -n","Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer.","Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.",,,,
Anzug,"der Anzug, ¨-e",Mein Mann hat sich einen neuen Anzug gekauft.,,,,,
Apartment,"das Apartment, -s",Wir haben ein Ferienapartment gemietet.,,,,,
Apfel,"der Apfel, ¨-",Zum Frühstück esse ich jeden Tag einen Apfel.,,,,,
Apotheke,"die Apotheke, -n",Ist hier in der Nähe eine Apotheke?,,,,,
Apparat,"der Apparat, -e",Können Sie den Apparat bitte etwas leiser stellen?,Wo ist mein Fotoapparat?,,,,
Appetit,der Appetit,Ich habe heute keinen Appetit. Ich mag nichts essen.,Auf was hast du Appetit? Vielleicht auf einen Salat?,Guten Appetit!,,,
Aprikose,"die Aprikose, -n (D, CH) ? A: Marille",Schmecken dir die Aprikosen?,,,,,
Arbeit,"die Arbeit, -en",Wie gefällt dir deine Arbeit?,Nach der Ausbildung hat Mohamed eine Arbeit gefunden.,,,,
"Arbeiter, Arbeiterin","der Arbeiter, - die Arbeiterin, -nen",Maria ist seit zwei Jahren Arbeiterin bei Siemens.,,,,,
Arbeitserlaubnis,die Arbeitserlaubnis,Haben Sie eine Arbeitserlaubnis?,,,,,
Arbeitslosigkeit,die Arbeitslosigkeit,Die Arbeitslosigkeit ist gesunken.,,,,,
Arbeitsplatz,"der Arbeitsplatz, ¨-e",In der Industrie gibt es immer weniger Arbeitsplätze.,,,,,
Arbeitsstelle,"die Arbeitsstelle, -n",Meine Frau hat eine neue Arbeitsstelle gefunden.,,,,,
"Architekt, Architektin","der Architekt, -en die Architektin, -nen",Dieses Haus hat eine berühmte Architektin gebaut.,,,,,
Ärger,der Ärger,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.,,,,,
Arm,"der Arm, -e",Mein Freund hat sich den Arm gebrochen.,,,,,
Art,"die Art, -en",Im Zoo haben sie 34 verschiedene Arten von Vögeln.,Seine Art gefällt mir nicht.,Man kann auf unterschiedliche Art und Weise ein Fest feiern.,,,
Artikel,"der Artikel, -",Ich habe einen interessanten Artikel gelesen.,"Im Deutschen gibt es drei Artikel: der, die, das.",,,,
"Arzt, Ärztin","der Arzt, ¨-e die Ärztin, -nen",Ich muss heute zum Arzt.,Wann warst du beim Zahnarzt?,,,,
Asyl,das Asyl,Die Menschen sind auf der Flucht und bitten um Asyl.,,,,,
Atem,der Atem,Bitte den Atem anhalten.,,,,,
Aufenthalt,"der Aufenthalt, -e",Der Zug hat in München nur 20 Minuten Aufenthalt.,Wir wünschen Ihnen einen angenehmen Aufenthalt.,,,,
Aufforderung,"die Aufforderung, -en","Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen.",,,,,
Aufgabe,"die Aufgabe, -n",Hast du deine Hausaufgaben für die Schule schon gemacht?,Das ist nicht meine Aufgabe.,,,,
Aufnahme,"die Aufnahme, -n",Bitte seid leise! – Ich starte die Aufnahme.,,,,,
Auftrag,"der Auftrag, ¨-e",Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben.,Im Moment hat die Firma besonders viele Aufträge.,,,,
Auftritt,"der Auftritt, -e",Nach dem Auftritt feiern die Musiker.,,,,,
