type,word,german,english
other,nicht,"Zigarette? - Danke, ich rauche nicht.","Cigarette? - Thank you, I don't smoke."
other,nicht,Wie geht es dir? – Nicht so gut.,How are you? - Not so good.
other,nicht,Das Essen in der Kantine ist gar nicht schlecht.,The food in the canteen is not bad at all.
other,nicht,Du kommst immer zu spät! - Das stimmt nicht.,You're always late! - That's not true.
other,es,Mein Auto muss in die Werkstatt. Es ist kaputt.,My car has to go to the garage. It's broken.
other,es,"Wissen Sie nicht, wo Herr Müller ist? - Nein, ich weiß es nicht.","Don't you know where Mr. Müller is? - No, I don't know."
other,es,Es wurden bei der Diskussion viele Fragen gestellt.,Many questions were asked during the discussion.
other,es,Wer ist da? – Ich bin’s.,Who is it? - It's me.
other,es,Mir geht es gut.,I'm fine.
other,es,"Ich finde es sehr nett von Ihnen, dass Sie mich abholen.",I think it's very nice of you to pick me up.
other,es,"Es macht Spaß, zusammen ein Picknick zu machen.",It's fun to have a picnic together.
other,und,Ich habe heute und morgen frei.,I have today and tomorrow off.
other,und,Ich kaufe ein und mein Mann kocht.,I do the shopping and my husband cooks.
other,was,Was ist das?,What is that?
other,was,Was möchten Sie?,What would you like?
other,was,"Wissen Sie, was das ist?",Do you know what that is?
other,was,Hast du schon (et)was gegessen?,Have you eaten anything yet?
other,zu,Ich bringe Sie zum Bahnhof.,I'll take you to the station.
other,zu,Wann sind Sie zu Hause?,When are you at home?
other,zu,Am besten gehen Sie zu Fuß.,The best way to get there is on foot.
other,zu,Gehen Ihre Kinder schon/noch zur Schule?,Do your children already/still go to school?
other,zu,Das Kleid ist mir zu teuer.,The dress is too expensive for me.
other,zu,Bitte zwanzig Briefmarken zu 55 Cent.,Twenty stamps at 55 cents please.
other,zu,Ich trinke zum Essen ein Bier.,I drink a beer with my meal.
other,zu,Unsere Mannschaft hat 2 zu 1 gewonnen.,Our team won 2 to 1.
other,zu,"Ich habe vor, mir ein neues Auto zu kaufen.",I am planning to buy a new car.
other,zu,Hast du etwas zu trinken für mich?,Do you have a drink for me?
other,ein-,Ich nehme ein Bier. Willst du auch eins?,I'll have a beer. Do you want one too?
other,ein-,Wir haben zu wenig Mitspieler. Wir brauchen noch einen.,We don't have enough players. We need one more.
other,in,Ich wohne in Frankfurt.,I live in Frankfurt.
other,in,Meine Wohnung ist im dritten Stock.,My apartment is on the third floor.
other,in,Wollen wir heute ins Einkaufszentrum gehen?,Shall we go to the mall today?
other,in,Rufen Sie bitte in fünf Minuten noch einmal an.,Please call back in five minutes.
other,in,Im Mai war ich in Urlaub. (D) (A: auf),I was on vacation in May.
other,in,Wir sind in einer schwierigen Lage.,We are in a difficult situation.
other,in,Meine Tochter kommt nächstes Jahr ins Gymnasium. (A) (D: aufs),My daughter will start grammar school next year.
other,ja,Sind Sie verheiratet? – Ja.,"Are you married? - Yes, you are."
other,ja,"Hallo? – Ja, bitte? Wer spricht denn da?","Hello? - Yes, please? Who is this?"
other,ja,"Denk bitte daran, die Tür abzuschließen. – Ja, ja, mach´ ich.","Please remember to lock the door. - Yes, yes, I will."
other,ja,"Heute Morgen um fünf hat es geschneit. – Ja, wirklich?",It snowed at five this morning - really?
other,ja,"Ich würde ja gern kommen, aber es geht wirklich nicht.","I would love to come, but I really can't."
other,ja,"Du weißt ja, dass ich kein Bier trinke. Gib mir bitte einen Tee.","You know I don't drink beer. Give me a cup of tea, please."
other,ja,Du bist hier in Berlin? – Das ist ja eine Überraschung.,You're here in Berlin? - That's a surprise.
other,ja,Steige bitte ja nicht auf den Stuhl!,Please don't get on the chair!
other,mit,Ich gehe heute Abend mit Maria aus.,I'm going out with Maria tonight.
other,mit,Wir suchen eine Dreizimmerwohnung mit Küche und Bad.,We are looking for a three-room apartment with kitchen and bathroom.
other,mit,Ich hätte gern einen Tee mit Zitrone.,I would like a tea with lemon.
other,mit,Mit meiner Mutter sind wir acht Personen.,"With my mother, there are eight of us."
other,mit,Ich bin mit dem Fahrrad gekommen.,I came by bike.
other,wie,Wie heißt du?,What is your name?
other,wie,Wie lange bist du schon hier?,How long have you been here?
other,wie,Meine Frau ist so alt wie ich.,My wife is the same age as me.
other,wie,Wie schreibt man das?,How do you write that?
other,wie,Wie bitte?,Excuse me?
other,wie,Wie gefällt dir unsere Wohnung?,How do you like our apartment?
other,auf,Deine Brille liegt auf dem Schreibtisch.,Your glasses are on the desk.
other,auf,Die Kinder spielen unten auf der Straße.,The children are playing in the street below.
other,auf,Meine Eltern leben auf dem Land.,My parents live in the country.
other,auf,Gestern waren wir auf einer Party.,Yesterday we went to a party.
other,auf,Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet.,Nobody has yet responded to our ad in the evening newspaper.
other,auf,Wie heißt das auf Deutsch?,What is it called in German?
other,auf,"Meine Tochter kommt nächstes Jahr aufs Gymnasium. (D) (A, CH: ins)","My daughter is going to grammar school next year. (D) (A, CH: ins)"
other,auf,Im Mai war ich auf Urlaub. (A) (D: in),I was on vacation in May. (A) (D: in)
other,auf,Ich bin schon seit zwei Stunden auf.,I've been up for two hours.
other,auf," Komm herein, die Tür ist auf. (D) (A, CH: offen)"," Come in, the door is open. (D) (A, CH: open)"
other,dass,"Rico hat mir gesagt, dass er auch zur Party kommt.",Rico told me that he's also coming to the party.
other,aber,"Heute kann ich nicht, aber morgen ganz bestimmt.","I can't today, but I definitely can tomorrow."
other,aber,"Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.","There was a lot of snow, but Enzo rode the bike anyway."
other,aber,"Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.","We only have a small apartment, but we are happy with it."
other,aber,Es war sehr schön. Jetzt muss ich aber gehen.,It was very nice. But now I have to go.
other,aber,"Ich würde gerne kommen, aber es geht leider nicht.","I would love to come, but unfortunately I can't."
other,aber,"Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.","Can I buy you a coffee? - Why yes, I would love to."
other,aber,Du spielst aber gut Klavier.,But you play the piano well.
other,so,Wie macht man das? – So!,How do you do that? - Like this!
other,so,Sie müssen das so machen. Nicht so!,You have to do it like this. Not like this!
other,so,Sie sind auch hier! So ein Zufall!,You're here too! What a coincidence!
other,so,"Ich melde mich, so schnell ich kann.",I'll get back to you as soon as I can.
other,so,Wann treffen wir uns? – So gegen 10 Uhr. Ist dir das recht?,When do we meet? - Around 10 o'clock. Is that okay with you?
other,so,Dauert es lange? – Eine Stunde oder so kann es schon dauern.,Will it take long? - It can take an hour or so.
other,so,Ich hatte kein Geld dabei. Da haben sie mich so hineingelassen.,I didn't have any money with me. They let me in like that.
other,so,"So, jetzt bin ich fertig. Was machen wir jetzt?","So, now I'm done. What are we going to do now?"
other,so,Fahren Sie bitte nicht so schnell!,Please do not drive so fast!
other,so,Meine Frau ist so groß wie ich.,My wife is as tall as I am.
other,hier/hier-,Hier wohne ich.,This is where I live.
other,hier/hier-,Von hier hat man eine herrliche Aussicht.,From here you have a wonderful view.
other,hier/hier-,Hier sind die Schlüssel für meine Wohnung. Kannst Du meine Blumen gießen?,Here are the keys to my apartment. Can you water my flowers?
other,hier/hier-,Hier ist Pamela Linke. Bitte hinterlassen Sie eine Nachricht.,This is Pamela Linke. Please leave a message.
verb,haben,Wir haben Hunger.,We are hungry.
verb,haben,Heute habe ich keine Zeit.,I don't have time today.
verb,haben,Wir haben ein neues Auto.,We have a new car.
verb,haben,Kann ich bitte eine Suppe haben?,"Can I have some soup, please?"
verb,haben,Unsere Wohnung hat vier Zimmer.,Our apartment has four rooms.
verb,haben,Ich habe heute viel zu tun.,I have a lot to do today.
verb,haben,Du hast es gut. Du kannst in Urlaub fahren.,You have it good. You can go on vacation.
other,für,Ist Post für mich da?,Is there mail for me?
other,für,Ich habe die Schlüssel für meine Wohnung verloren.,I have lost the keys to my apartment.
other,für,Gibt es hier einen Sportverein für Jugendliche?,Is there a sports club for young people here?
other,für,Diese alten Möbel haben wir für 100 Euro bekommen.,We got this old furniture for 100 euros.
other,für,Für einen Anfänger spielt er schon sehr gut Klavier.,He already plays the piano very well for a beginner.
other,für,Du kannst nicht einkaufen gehen? Ich kann es für dich machen.,You can't go shopping? I can do it for you.
other,für,Für mich ist das ein schwerer Fehler.,"For me, that is a serious mistake."
other,für,Wir haben die Wohnung für ein Jahr gemietet.,We rented the apartment for a year.
other,von,Ich komme gerade vom Zahnarzt.,I've just come from the dentist.
other,von,Emil ist ein Freund von mir.,Emil is a friend of mine.
other,von,Haben Sie noch eine Zeitung von heute?,Do you still have a newspaper from today?
other,von,Von jetzt an müssen wir sparen.,From now on we have to save money.
other,von,Das Büro ist von 13 bis 15 Uhr geschlossen.,The office is closed from 1 p.m. to 3 p.m.
other,wenn,"Kommst du zu der Party? - Vielleicht, wenn ich nicht arbeiten muss.","Are you coming to the party? - Maybe, if I don't have to work."
other,wenn,"Gib mir Bescheid, wenn deine Mutter zu Hause ist.",Let me know when your mother is home.
other,nein,"Noch ein Bier? – Nein, danke.","Another beer? - No, thanks."
other,nein,"Kommst du auch mit nach München? – Nein, ich habe keine Zeit.","Are you also coming to Munich? - No, I don't have time."
other,an,Am Anfang war alles sehr schwierig.,Everything was very difficult at the beginning.
other,an,Dann sehen wir uns also am Dienstag.,So I'll see you on Tuesday.
other,an,Ich warte am Bahnhof auf dich.,I'll wait for you at the station.
