german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6,s7,t7
abbiegen,to turn off,"abbiegen, biegt ab, bog ab, ist abgebogen",An der nächsten Kreuzung müssen Sie links abbiegen.,Turn left at the next intersection.,,,,,,,,,,,,
abfahren,to depart,"abfahren, fährt ab, fuhr ab, ist abgefahren",Unser Zug ist pünktlich abgefahren.,Our train left on time.,,,,,,,,,,,,
abgeben,to hand in/off,"abgeben, gibt ab, gab ab, hat abgegeben",Ich soll dieses Päckchen bei Herrn Müller abgeben.,I am to hand this parcel in to Mr. Müller.,,,,,,,,,,,,
abhängen,to depend on,"abhängen, hängt ab, hing ab, hat abgehangen (von)","Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.","Maybe we'll stay a few days longer, depending on the weather.",,,,,,,,,,,,
abheben,"to lift up/off, take off","abheben, hebt ab, hob ab, hat abgehoben",Für die Reise habe ich 500 Euro von meinem Konto abgehoben.,I withdrew 500 euros from my account for the trip.,,,,,,,,,,,,
abholen,to pick up,"abholen, holt ab, holte ab, hat abgeholt",Meine Freundin hat mich vom Bahnhof abgeholt.,My girlfriend picked me up from the station.,,,,,,,,,,,,
abschreiben,"to write off, copy","abschreiben, schreibt ab, schrieb ab, hat abgeschrieben",Er hat die Hausaufgaben von mir abgeschrieben.,He copied the homework from me.,,,,,,,,,,,,
ablehnen,"to refuse, reject","ablehnen, lehnt ab, lehnte ab, hat abgelehnt","Er hat mein Angebot, ihm zu helfen, abgelehnt.",He turned down my offer to help him.,,,,,,,,,,,,
abmachen,"to arrange, agree, take off","abmachen, macht ab, machte ab, hat abgemacht","Wir hatten doch abgemacht, dass du die Getränke besorgst.",We agreed that you would get the drinks.,,,,,,,,,,,,
abnehmen,"to lose weight, remove","abnehmen, nimmt ab, nahm ab, hat abgenommen",Morgen können wir den Verband abnehmen.,We can remove the bandage tomorrow.,Ich habe zehn Kilo abgenommen.,I have lost ten kilos.,,,,,,,,,,
abonnieren,to subscribe,"abonnieren, abonniert, abonnierte, hat abonniert",Diese Zeitschrift würde ich gerne abonnieren.,I would like to subscribe to this magazine.,,,,,,,,,,,,
absagen,to cancel,"absagen, sagt ab, sagte ab, hat abgesagt","Ich muss unser Treffen leider absagen, weil ich krank geworden bin.","Unfortunately, I have to cancel our meeting because I have fallen ill.",,,,,,,,,,,,
abstimmen,to vote,"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",Lasst uns über diesen Punkt abstimmen.,Let's vote on this point.,,,,,,,,,,,,
abwaschen,"to wash, wash off","abwaschen, wäscht ab, wusch ab, hat abgewaschen",Ich muss noch das Geschirr abwaschen.,I still have to wash the dishes.,,,,,,,,,,,,
achten,to pay attention,"achten, achtet, achtete, hat geachtet (auf)","Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.",Please make sure that you lock up when you leave.,,,,,,,,,,,,
akzeptieren,to accept,"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",Ich kann diese Bedingungen nicht akzeptieren.,I cannot accept these conditions.,,,,,,,,,,,,
sich amüsieren,to have fun,"sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert",Bei dem Fest haben wir uns sehr gut amüsiert.,We had a great time at the party.,,,,,,,,,,,,
analysieren,to analyze,"analysieren, analysiert, analysierte, hat analysiert",Die Politiker analysieren die Situation auf dem Arbeitsmarkt.,Politicians analyze the situation on the labor market.,,,,,,,,,,,,
anbieten,to offer,"anbieten, bietet an, bot an, hat angeboten",Darf ich Ihnen etwas zu trinken anbieten?,May I offer you something to drink?,,,,,,,,,,,,
ändern,to change,"ändern, ändert, änderte, hat geändert",Das Wetter hat sich geändert.,The weather has changed.,Ich habe meine Meinung inzwischen geändert.,I have since changed my mind.,,,,,,,,,,
anerkennen,to recognize,"anerkennen, erkennt an, erkannte an, hat anerkannt",Meine Ausbildung wird hier nicht anerkannt.,My training is not recognized here.,,,,,,,,,,,,
anfangen,to start,"anfangen, fängt an, fing an, hat angefangen",Wann fängst du mit der Arbeit an?,When will you start work?,Hier fängt die Bahnhofstraße an.,This is where Bahnhofstrasse begins.,,,,,,,,,,
angeben,to specify,"angeben, gibt an, gab an, hat angegeben",Bitte geben Sie Ihre genaue Adresse an.,Please enter your exact address.,,,,,,,,,,,,
anhaben,"to wear, have (sth.) on","anhaben, hat an, hatte an, hat angehabt",Gestern hatte Julia ein rotes Kleid an.,Yesterday Julia wore a red dress.,,,,,,,,,,,,
anklicken,to click,"anklicken, klickt an, klickte an, hat angeklickt",Du musst das Bild anklicken. Dann wird es größer.,You have to click on the picture. Then it will be larger.,,,,,,,,,,,,
ankommen,to arrive,"ankommen, kommt an, kam an, ist angekommen",Wann kommt der Zug in Hamburg an?,When does the train arrive in Hamburg?,"Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.",The aim of the game is to run faster than the others.,,,,,,,,,,
ankündigen,to announce,"ankündigen, kündigt an, kündigte an, hat angekündigt",Wir sollten unseren Besuch ankündigen.,We should announce our visit.,,,,,,,,,,,,
anmelden,to register,"anmelden, meldet an, meldete an, hat angemeldet",Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.,You must register for this course in advance.,,,,,,,,,,,,
annehmen,"to accept, assume","annehmen, nimmt an, nahm an, hat angenommen",Ich nehme Ihre Einladung gern an.,I gladly accept your invitation.,"Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.",I assume that you agree with the proposal.,,,,,,,,,,
anrufen,to call (by phone),"anrufen, ruft an, rief an, hat angerufen",Ich rufe Sie heute Abend an.,I'll call you this evening.,,,,,,,,,,,,
anschaffen,"to purchase, acquire","anschaffen, schafft an, schaffte an, hat angeschafft",Wir haben uns neue Möbel angeschafft.,We have purchased new furniture.,,,,,,,,,,,,
anschließen,to connect,"anschließen, schließt an, schloss an, hat angeschlossen",Wo kann ich den Computer anschließen?,Where can I connect the computer?,,,,,,,,,,,,
anschnallen,to buckle up,"anschnallen, schnallt an, schnallte an, hat angeschnallt","Vergiss nicht, dich anzuschnallen.",Don't forget to fasten your seatbelt.,,,,,,,,,,,,
