first,second,third,fourth,english
sein,ist,war,gewesen,"to be"
haben,hat,hatte,gehabt,"to have"
werden,wird,wurde/ward,geworden,"to become, get"
können,kann,konnte,gekonnt,"to be able to, can"
müssen,muss,musste,gemusst,"to have to, must"
sagen,sagt,sagte,gesagt,"to say"
machen,macht,machte,gemacht,"to do, make"
geben,gibt,gab,gegeben,"to give"
kommen,kommt/kömmt,kam,gekommen,"to come"
sollen,soll,sollte,gesollt,"should, ought to"
wollen,will,wollte,gewollt,"to want to"
gehen,geht,ging,gegangen,"to go"
wissen,weiß,wusste,gewusst,"to know"
sehen,sieht,sah,gesehen,"to see"
lassen,lässt,ließ,gelassen,"to let, allow, have done"
stehen,steht,stand,gestanden,"to stand"
finden,findet,fand,gefunden,"to find"
bleiben,bleibt,blieb,geblieben,"to stay, remain"
liegen,liegt,lag,gelegen,"to lie"
heißen,heißt,hieß,geheißen,"to be called"
denken,denkt,dachte,gedacht,"to think"
nehmen,nimmt,nahm,genommen,"to take"
tun,tut,tat,getan,"to do"
dürfen,darf,durfte,gedurft,"to be allowed, may"
glauben,glaubt,glaubte,geglaubt,"to believe"
halten,hält,hielt,gehalten,"to stop, hold"
nennen,nennt,nannte,genannt,"name, call"
mögen,mag,mochte,gemocht,"to like"
zeigen,zeigt,zeigte,gezeigt,"to show"
führen,führt,führte,geführt,"to lead"
sprechen,spricht,sprach,gesprochen,"to speak"
bringen,bringt,brachte,gebracht,"to bring, take"
leben,lebt,lebte,gelebt,"to live"
fahren,fährt,fuhr,gefahren,"to drive, ride, go"
meinen,meint,meinte,gemeint,"to think, have an opinion"
fragen,fragt,fragte,gefragt,"to ask"
kennen,kennt,kannte,gekannt,"to know"
gelten,gilt,galt,gegolten,"to be valid"
stellen,stellt,stellte,gestellt,"to place, set"
spielen,spielt,spielte,gespielt,"to play"
arbeiten,arbeitet,arbeitete,gearbeitet,"to work"
brauchen,braucht,brauchte,gebraucht,"to need"
folgen,folgt,folgte,gefolgt,"to follow"
lernen,lernt,lernte,gelernt,"to learn"
bestehen,besteht,bestand,bestanden,"to exist, insist, pass (an exam)"
verstehen,versteht,verstand,verstanden,"to understand"
setzen,setzt,setzte,gesetzt,"to set, place, put"
bekommen,bekommt/bekömmt,bekam,bekommen,"to get, receive"
beginnen,beginnt,begann,begonnen,"to begin"
erzählen,erzählt,erzählte,erzählt,"to tell"
versuchen,versucht,versuchte,versucht,"to try, attempt"
schreiben,schreibt,schrieb,geschrieben,"to write"
laufen,läuft,lief,gelaufen,"to run"
erklären,erklärt,erklärte,erklärt,"to explain"
entsprechen,entspricht,entsprach,entsprochen,"to correspond"
sitzen,sitzt,saß,gesessen,"to sit"
ziehen,zieht,zog,gezogen,"to pull, move"
scheinen,scheint,schien,geschienen,"to shine, seem, appear"
fallen,fällt,fiel,gefallen,"to fall"
gehören,gehört,gehörte,gehört,"to belong"
entstehen,entsteht,entstand,entstanden,"to originate, develop"
erhalten,erhält,erhielt,erhalten,"to receive"
treffen,trifft,traf,getroffen,"to meet"
suchen,sucht,suchte,gesucht,"to search, look for"
legen,legt,legte,gelegt,"to lay, put"
vorstellen,stellt vor,stellte vor,vorgestellt,"to introduce, imagine"
handeln,handelt,handelte,gehandelt,"to deal, trade"
erreichen,erreicht,erreichte,erreicht,"to achieve, reach"
tragen,trägt,trug,getragen,"to carry, wear"
schaffen,schafft,schuf,geschaffen,"to manage, create"
lesen,liest,las,gelesen,"to read"
verlieren,verliert,verlor,verloren,"to lose"
darstellen,stellt dar,stellte dar,dargestellt,"to depict, portray"
erkennen,erkennt,erkannte,erkannt,"to recognize, admit"
entwickeln,entwickelt,entwickelte,entwickelt,"to develop"
reden,redet,redete,geredet,"to talk"
aussehen,sieht aus,sah aus,ausgesehen,"to appear, look"
erscheinen,erscheint,erschien,erschienen,"to appear"
bilden,bildet,bildete,gebildet,"to form, educate"
anfangen,fängt an,fing an,angefangen,"to begin"
erwarten,erwartet,erwartete,erwartet,"to expect"
wohnen,wohnt,wohnte,gewohnt,"to live"
betreffen,betrifft,betraf,betroffen,"to affect, concern"
warten,wartet,wartete,gewartet,"to wait"
vergehen,vergeht,verging,vergangen,"to pass (time)"
helfen,hilft,half,geholfen,"to help"
gewinnen,gewinnt,gewann,gewonnen,"to win, gain"
schließen,schließt,schloss,geschlossen,"to close"
fühlen,fühlt,fühlte,gefühlt,"to feel"
bieten,bietet,bot,geboten,"to offer"
interessieren,interessiert,interessierte,interessiert,"to interest"
erinnern,erinnert,erinnerte,erinnert,"to remind"
ergeben,ergibt,ergab,ergeben,"to result in"
anbieten,bietet an,bot an,angeboten,"to offer"
studieren,studiert,studierte,studiert,"to study"
verbinden,verbindet,verband,verbunden,"to connect, link"
ansehen,sieht an,sah an,angesehen,"to look at, watch"
fehlen,fehlt,fehlte,gefehlt,"to lack, be missing, be absent"
bedeuten,bedeutet,bedeutete,bedeutet,"to mean"
vergleichen,vergleicht,verglich,verglichen,"to compare"
steigen,steigt,stieg,gestiegen,"to climb, increase"
nutzen,nutzt,nutzte,genutzt,"to use"
schauen,schaut,schaute,geschaut,"to look"
verlassen,verlässt,verließ,verlassen,"to leave"
einsetzen,setzt ein,setzte ein,eingesetzt,"to put in, insert"
ändern,ändert,änderte,geändert,"to change"
wachsen,wächst,wuchs,gewachsen,"to grow"
ausgehen,geht aus,ging aus,ausgegangen,"to go out, assume"
geschehen,geschieht,geschah,geschehen,"to happen, occur"
beschreiben,beschreibt,beschrieb,beschrieben,"to describe"
annehmen,nimmt an,nahm an,angenommen,"to accept, assume"
kriegen,kriegt,kriegte,gekriegt,"to get, receive"
planen,plant,plante,geplant,"to plan"
wirken,wirkt,wirkte,gewirkt,"to have an effect, to work"
bezeichnen,bezeichnet,bezeichnete,bezeichnet,"to call, name"
befinden,befindet,befand,befunden,"to be"
passieren,passiert,passierte,passiert,"to take place, happen"
rufen,ruft,rief,gerufen,"to call, name"
aufnehmen,nimmt auf,nahm auf,aufgenommen,"to record, include"
zunehmen,nimmt zu,nahm zu,zugenommen,"to increase"
bestimmen,bestimmt,bestimmte,bestimmt,"to decide, determine"
fordern,fordert,forderte,gefordert,"to demand, claim"
gefallen,gefällt,gefiel,gefallen,"to please"
öffnen,öffnet,öffnete,geöffnet,"to open"
schlagen,schlägt,schlug,geschlagen,"to hit, beat"
treten,tritt,trat,getreten,"to step"
übernehmen,nimmt über,nahm über,übergenommen,"to take over"
verändern,verändert,veränderte,verändert,"to change"
lachen,lacht,lachte,gelacht,"to laugh"
verwenden,verwendet,verwendete,verwendet,"to use"
wählen,wählt,wählte,gewählt,"to choose, elect, vote"
erfolgen,erfolgt,erfolgte,erfolgt,"to take place, occur"
enthalten,enthält,enthielt,enthalten,"to contain"
betrachten,betrachtet,betrachtete,betrachtet,"to look at, consider"
entscheiden,entscheidet,entschied,entschieden,"to decide"
gelingen,gelingt,gelang,gelungen,"to succeed"
kaufen,kauft,kaufte,gekauft,"to buy"
erfahren,erfährt,erfuhr,erfahren,"to experience, find out"
vergessen,vergisst,vergaß,vergessen,"to forget"
stattfinden,findet statt,fand statt,stattgefunden,"to take place, occur"
bewegen,bewegt,bewegte,bewegt,"to move"
feststellen,stellt fest,stellte fest,festgestellt,"to establish, detect"
verschwinden,verschwindet,verschwand,verschwunden,"to disappear"
dienen,dient,diente,gedient,"to serve"
trinken,trinkt,trank,getrunken,"to drink"
auftreten,tritt auf,trat auf,aufgetreten,"to appear, occur"
stimmen,stimmt,stimmte,gestimmt,"to be correct, vote, tune"
verhalten,verhält,verhielt,verhalten,"to behave, react"
berichten,berichtet,berichtete,berichtet,"to report"
rechnen,rechnet,rechnete,gerechnet,"to calculate, do arithmetic"
beobachten,beobachtet,beobachtete,beobachtet,"to observe, watch"
erleben,erlebt,erlebte,erlebt,"to experience"
holen,holt,holte,geholt,"to get, fetch"
essen,isst,aß,gegessen,"to eat"
reichen,reicht,reichte,gereicht,"to reach, be enough"
sterben,stirbt,starb,gestorben,"to die"
unterscheiden,unterscheidet,unterschied,unterschieden,"to distinguish"
leisten,leistet,leistete,geleistet,"to achieve"
verlangen,verlangt,verlangte,verlangt,"to request, demand"
werfen,wirft,warf,geworfen,"to throw"
vorliegen,liegt vor,lag vor,vorgelegen,"to be, exist"
zählen,zählt,zählte,gezählt,"to count"
wünschen,wünscht,wünschte,gewünscht,"to want, wish"
bauen,baut,baute,gebaut,"to build"
hängen,hängt,hängte,gehängt,"to hang"
hoffen,hofft,hoffte,gehofft,"to hope"
freuen,freut,freute,gefreut,"to be happy"
teilen,teilt,teilte,geteilt,"to divide, share"
bezahlen,bezahlt,bezahlte,bezahlt,"to pay"
